,"Author: Bahia, C. P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 21 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,1,0,2,1,1,0,3,2,6,5,7,9,4,7,8,7,5,11,12,16,33,28,20,40,61,29,318,0,318
2025,"Biochemical neuroplasticity in the cerebellum after physical exercise: Systematic review and meta-analysis",19326203,"PLOS ONE","20","8 August",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2025,"Brosimine B and the biphasic dose-response: insights into hormesis and retinal neuroprotection",16639812,"Frontiers in Pharmacology","16","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,7
2025,"Increasing Mu wave desynchronization after dance classes on people with Parkinson’s disease",16625161,"Frontiers in Human Neuroscience","19","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Experimental Granulomatous Amebic Encephalitis Caused by Acanthamoeba castellanii",24146366,"Tropical Medicine and Infectious Disease","9","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4
2023,"Physical activity based on dance movements as complementary therapy for Parkinson’s disease: Effects on movement, executive functions, depressive symptoms, and quality of life",19326203,"PLoS ONE","18","2 February",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,20,0,20
2023,"Total rupture of Achilles tendon induces inflammatory response and glial activation on the spinal cord of mice",0100879X,"Brazilian Journal of Medical and Biological Research","56","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2023,"Neuroprotective effects of crude extracts, compounds, and isolated molecules obtained from plants in the central nervous system injuries: a systematic review",16624548,"Frontiers in Neuroscience","17","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,12,0,12
2022,"Euterpe oleracea fruit (Açai)-enriched diet suppresses the development of experimental cerebral malaria induced by Plasmodium berghei (ANKA) infection",26627671,"BMC Complementary Medicine and Therapies","22","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,8,0,8
2022,"High performance liquid chromatography-based method to analyze activity of GABA transporters in central nervous system",01970186,"Neurochemistry International","158","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,4
2022,"Time Window of the Critical Period for Neuroplasticity in S1, V1, and A1 Sensory Areas of Small Rodents: A Systematic Review",16625129,"Frontiers in Neuroanatomy","16","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,0,15,0,15
2020,"Acute Restraint Stress Evokes Anxiety-Like Behavior Mediated by Telencephalic Inactivation and GabAergic Dysfunction in Zebrafish Brains",20452322,"Scientific Reports","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,7,8,4,35,0,35
2019,"Terminal Arbors of Callosal Axons Undergo Plastic Changes in Early-Amputated Rats",10473211,"Cerebral Cortex","29","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,4,0,4
2019,"Oxidative Stress Mediates Anxiety-Like Behavior Induced by High Caffeine Intake in Zebrafish: Protective Effect of Alpha-Tocopherol",19420900,"Oxidative Medicine and Cellular Longevity","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,6,5,8,4,41,0,41
2019,"Local treatment with ascorbic acid accelerates recovery of post-sutured achilles tendon in male wistar rats",0100879X,"Brazilian Journal of Medical and Biological Research","52","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,12,0,12
2017,"Interlimb dynamic after unilateral focal lesion of the cervical dorsal corticospinal tract with endothelin-1",16625129,"Frontiers in Neuroanatomy","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2017,"Effect of chronic stress during adolescence in prefrontal cortex structure and function",01664328,"Behavioural Brain Research","326","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,6,5,4,1,7,3,3,40,0,40
2014,"Topography and architecture of visual and somatosensory areas of the agouti",00219967,"Journal of Comparative Neurology","522","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,3,0,1,1,0,0,13,0,13
2012,"Dendritic structure varies as a function of eccentricity in V1: A quantitative study of NADPH diaphorase neurons in the diurnal South American rodent agouti, Dasyprocta prymnolopha",03064522,"Neuroscience","216","",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,1,1,0,11,0,11
2009,"On the fate of extracellular hemoglobin and heme in brain",0271678X,"Journal of Cerebral Blood Flow and Metabolism","29","6",0,0,0,0,0,0,0,0,0,1,4,5,2,3,3,4,3,3,3,2,3,5,3,0,1,3,0,48,0,48
2008,"Spatiotemporal distribution of proteoglycans in the developing rat's barrel field and the effects of early deafferentation",00219967,"Journal of Comparative Neurology","510","2",0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,12,0,12
2000,"The barrel field of the adult mouse Sml cortex as revealed by NADPH- diaphorase histochemistry",09594965,"NeuroReport","11","9",0,1,0,2,1,1,0,3,2,1,1,1,4,0,1,0,0,0,1,2,0,1,1,1,1,1,0,26,0,26