,"Author: Batista, Evander De Jesus Oliveira",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 12 (Of the 25 documents considered for the h-index, 12 have been cited at least 12 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,16,23,27,38,45,38,26,38,32,48,65,28,443,0,443
2025,"Unveiling new perspectives about the onset of neurological and cognitive deficits in cerebral malaria: exploring cellular and neurochemical mechanisms",22352988,"Frontiers in Cellular and Infection Microbiology","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,6
2024,"Experimental Granulomatous Amebic Encephalitis Caused by Acanthamoeba castellanii",24146366,"Tropical Medicine and Infectious Disease","9","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4
2024,"Putative Activation of Cannabinoid Receptor Type 1 Prevents Brain Oxidative Stress and Inhibits Aggressive-Like Behavior in Zebrafish",23788763,"Cannabis and Cannabinoid Research","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,9,0,9
2024,"Distinct acute stressors produce different intensity of anxiety-like behavior and differential glutamate release in zebrafish brain",16625153,"Frontiers in Behavioral Neuroscience","18","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,11
2024,"Treatment with Conditioned Medium from Tenocytes Primary Cell Cultures Accelerates Histological and Functional Recovery of Achilles Tendon in Tenotomized Mice",22404554,"Muscles, Ligaments and Tendons Journal","14","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,4
2023,"Total rupture of Achilles tendon induces inflammatory response and glial activation on the spinal cord of mice",0100879X,"Brazilian Journal of Medical and Biological Research","56","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2022,"Açaí (Euterpe oleracea) pulp-enriched diet induces anxiolytic-like effects and improves memory retention",16546628,"Food and Nutrition Research","66","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,4
2021,"Astrocyte reactivity in spinal cord and functional impairment after tendon injury in rats",24058440,"Heliyon","7","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0,4
2021,"Putative Activation of the CB1 Cannabinoid Receptors Prevents Anxiety-Like Behavior, Oxidative Stress, and GABA Decrease in the Brain of Zebrafish Submitted to Acute Restraint Stress",16625153,"Frontiers in Behavioral Neuroscience","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,6,5,2,22,0,22
2021,"Differential Effect of Antioxidants Glutathione and Vitamin C on the Hepatic Injuries Induced by Plasmodium berghei ANKA Infection",23146133,"BioMed Research International","2021","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,7,0,7
2020,"Melatonin Prevents Brain Damage and Neurocognitive Impairment Induced by Plasmodium Berghei ANKA Infection in Murine Model of Cerebral Malaria",22352988,"Frontiers in Cellular and Infection Microbiology","10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,3,0,15,0,15
2019,"Local treatment with ascorbic acid accelerates recovery of post-sutured achilles tendon in male wistar rats",0100879X,"Brazilian Journal of Medical and Biological Research","52","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,12,0,12
2017,"Diet enriched with the Amazon fruit açaí (Euterpe oleracea) prevents electrophysiological deficits and oxidative stress induced by methyl-mercury in the rat retina",1028415X,"Nutritional Neuroscience","20","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,2,2,4,0,17,0,17
2017,"Mauritia flexuosa L. protects against deficits in memory acquisition and oxidative stress in rat hippocampus induced by methylmercury exposure",1028415X,"Nutritional Neuroscience","20","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,0,2,2,2,4,0,24,0,24
2017,"Local inhibition of nitrergic activity in tenotomized rats accelerates muscle regeneration by increasing fiber area and decreasing central core lesions",0100879X,"Brazilian Journal of Medical and Biological Research","50","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2
2016,"Time-dependent sensitization of stress responses in zebrafish: A putative model for post-traumatic stress disorder",03766357,"Behavioural Processes","128","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,3,1,3,3,7,2,37,0,37
2015,"Putative involvement of the nitrergic system on the consolidation, but not initiation, of behavioral sensitization after conspecific alarm substance in zebrafish",00913057,"Pharmacology Biochemistry and Behavior","139","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,5,0,12,0,12
2015,"Role of nitric oxide in the behavioral and neurochemical effects of IB-MECA in zebrafish",00333158,"Psychopharmacology","232","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,7,0,7
2015,"Interaction between 5-HT1B receptors and nitric oxide in zebrafish responses to novelty",03043940,"Neuroscience Letters","588","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,3,1,0,5,0,18,0,18
2014,"Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system",15458547,"Zebrafish","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,2,3,3,1,2,35,0,35
2014,"Nitric oxide as a regulatory molecule in the processing of the visual stimulus",10898603,"Nitric Oxide - Biology and Chemistry","36","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,4,3,2,1,1,1,0,0,18,0,18
2013,"Occurrence of strongyloidiasis among patients with HTLV-1/2 seen at the outpatient clinic of the Núcleo de medicina Tropical, Belém, state of Pará, Brazil",00378682,"Revista da Sociedade Brasileira de Medicina Tropical","46","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,2,0,2,2,0,0,2,0,15,0,15
2013,""" Limbic associative"" and "" autonomic"" amygdala in teleosts: A review of the evidence",08910618,"Journal of Chemical Neuroanatomy","48-49","",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,8,10,4,4,6,10,1,3,2,2,68,0,68
2012,"Determination of glutamate uptake by high performance liquid chromatography (HPLC) in preparations of retinal tissue",15700232,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","907","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,3,3,0,3,1,4,1,0,22,0,22
2011,"Possible role of serotoninergic system in the neurobehavioral impairment induced by acute methylmercury exposure in zebrafish (Danio rerio)",08920362,"Neurotoxicology and Teratology","33","6",0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,6,5,6,8,5,4,1,6,8,2,2,68,0,68