,"Author: Rocha, Fernando Allan De Farias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 21 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,1,3,3,5,16,13,7,11,12,8,15,12,26,23,34,24,22,25,27,24,15,326,0,326
2025,"Neuroprotective effects of essential oils in animal models of Alzheimer's and Parkinson's disease: a systematic review",21678359,"PeerJ","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2024,"Neurofeedback Beta Down Training in Women With High State-Trait Anxiety and Elevated Beta Patterns in Temporal Lobes: A Pilot Study",23730587,"NeuroRegulation","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2023,"Editorial: Natural products as sources of innovative approaches in the prevention and treatment of neuronal injuries induced by neurodegenerative diseases and environmental exposures to neurotoxic agents",16625102,"Frontiers in Cellular Neuroscience","17","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2023,"Neuroprotective effects of açaí (Euterpe oleracea Mart.) against diabetic retinopathy",16639812,"Frontiers in Pharmacology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,9,0,9
2020,"Ganglion cells and displaced amacrine cells density in the retina of the collared peccary (Pecari tajacu)",19326203,"PLoS ONE","15","10 October",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,5,0,5
2020,"Distribution of rods and cones in the red-eared turtle retina (Trachemys scripta elegans)",00219967,"Journal of Comparative Neurology","528","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,4
2019,"Regulation of the Serotonergic System by Kainate in the Avian Retina",02724340,"Cellular and Molecular Neurobiology","39","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,3
2018,"Methylmercury alters the number and topography of NO-synthase positive neurons in embryonic retina: Protective effect of alpha-tocopherol",08872333,"Toxicology in Vitro","53","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,3
2017,"Cerebral malaria induces electrophysiological and neurochemical impairment in mice retinal tissue: Possible effect on glutathione and glutamatergic system",14752875,"Malaria Journal","16","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,2,1,12,0,12
2017,"Diet enriched with the Amazon fruit açaí (Euterpe oleracea) prevents electrophysiological deficits and oxidative stress induced by methyl-mercury in the rat retina",1028415X,"Nutritional Neuroscience","20","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,2,2,4,0,17,0,17
2017,"Mauritia flexuosa L. protects against deficits in memory acquisition and oxidative stress in rat hippocampus induced by methylmercury exposure",1028415X,"Nutritional Neuroscience","20","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,0,2,2,2,4,0,24,0,24
2016,"Spectral sensitivity measured with electroretinogram using a constant response method",19326203,"PLoS ONE","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,5,5,5,1,30,0,30
2014,"Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system",15458547,"Zebrafish","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,2,3,3,1,2,35,0,35
2014,"Nitric oxide as a regulatory molecule in the processing of the visual stimulus",10898603,"Nitric Oxide - Biology and Chemistry","36","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,4,3,2,1,1,1,0,0,18,0,18
2009,"The topography of cone photoreceptors in the retina of a diurnal rodent, the agouti (Dasyprocta aguti)",09525238,"Visual Neuroscience","26","2",0,0,0,0,0,0,0,0,0,1,3,2,2,1,2,0,0,2,4,0,3,0,1,1,1,1,0,24,0,24
2008,"Twelve chromatically opponent ganglion cell types in turtle retina",09525238,"Visual Neuroscience","25","3",0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,4,1,4,3,6,4,0,1,1,1,2,32,0,32
2008,"Thyroid hormone action is required for normal cone opsin expression during mouse retinal development",01460404,"Investigative Ophthalmology and Visual Science","49","5",0,0,0,0,0,0,0,0,0,2,8,9,2,0,4,4,4,3,2,0,3,2,2,4,3,2,1,55,0,55
2007,"Voronoi analysis uncovers relationship between mosaics of normally placed and displaced amacrine cells in the thraira retina",15392791,"Neuroinformatics","5","1",0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,8,0,8
2006,"Characterizing polygonality in biological structures",15393755,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","73","1",0,0,0,0,0,0,0,2,2,1,1,1,1,3,2,2,2,1,1,1,2,0,2,1,0,0,1,26,0,26
2005,"Horizontal cells in the retina of a diurnal rodent, the agouti (Dasyprocta aguti)",09525238,"Visual Neuroscience","22","6",0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,11,0,11
2005,"Statistical mechanics characterization of neuronal mosaics",00036951,"Applied Physics Letters","86","9",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,6,0,6