,"Author: Bastos, Gilmara De Nazareth Tavares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 19 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,1,1,2,4,8,10,4,13,11,15,29,32,36,39,34,38,39,43,53,54,16,482,0,482
2025,"Acute or Chronic β-Caryophyllene Systemic Administration in Healthy Adult Male Mice Does Not Modulate Anxiety-Like Extinction Behavior Induced by Subsequent Re-Exposure to 3D Maze",07673981,"Fundamental and Clinical Pharmacology","39","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2025,"Montrichardia linifera (Arruda) Schott promotes accelerated wound healing in vitro: a promising healing",16639812,"Frontiers in Pharmacology","16","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Aqueous extract of Swietenia macrophylla leaf exerts an anti-inflammatory effect in a murine model of Parkinson’s disease induced by 6-OHDA",16624548,"Frontiers in Neuroscience","18","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,7
2023,"Polyacrylamide Hydrogel Containing Calendula Extract as a Wound Healing Bandage: In Vivo Test",14220067,"International Journal of Molecular Sciences","24","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,3,28,0,28
2022,"Açaí (Euterpe oleracea) pulp-enriched diet induces anxiolytic-like effects and improves memory retention",16546628,"Food and Nutrition Research","66","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,4
2021,"PCL/andiroba oil (Carapa guianensis aubl.) hybrid film for wound healing applications",20734360,"Polymers","13","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,4,4,29,0,29
2021,"SIPNs polymeric scaffold for use in cartilaginous tissue engineering: physical-chemical evaluation and biological behavior",23524928,"Materials Today Communications","26","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,0,4
2020,"Pellucidin A promotes antinociceptive activity by peripheral mechanisms inhibiting COX-2 and NOS: In vivo and in silico study",19326203,"PLoS ONE","15","9 September",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,6,0,6
2017,"Structure and analgesic properties of layered double hydroxides intercalated with low amounts of ibuprofen",00027820,"Journal of the American Ceramic Society","100","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,1,0,9,0,9
2017,"Bio-based polyurethane for tissue engineering applications: How hydroxyapatite nanoparticles influence the structure, thermal and biological behavior of polyurethane composites",15499634,"Nanomedicine: Nanotechnology, Biology, and Medicine","13","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,2,5,6,7,4,5,0,44,0,44
2016,"pHEMA hydrogels: Synthesis, kinetics and in vitro tests",13886150,"Journal of Thermal Analysis and Calorimetry","125","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,5,9,15,6,11,8,3,73,0,73
2016,"Synthesis and characterization of bio-based polyurethane for tissue engineering applications",22839216,"Chemical Engineering Transactions","49","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,4,0,4
2015,"In vitro biological action of aqueous extract from roots of Physalis angulata against Leishmania (Leishmania) amazonensis",14726882,"BMC Complementary and Alternative Medicine","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,4,5,3,2,2,5,1,0,32,0,32
2015,"Antinociceptive activity and toxicity evaluation of the fatty oil from Plukenetia polyadenia mull. arg. (euphorbiaceae)",14203049,"Molecules","20","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,1,1,1,1,0,13,0,13
2014,"Hippocampal biomarkers of fear memory in an animal model of generalized anxiety disorder",01664328,"Behavioural Brain Research","263","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,3,4,4,5,2,1,5,6,3,1,48,0,48
2014,"Libidibia ferrea mature seeds promote antinociceptive effect by peripheral and central pathway: Possible involvement of opioid and cholinergic receptors",23146133,"BioMed Research International","2014","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,3,1,0,2,1,1,1,18,0,18
2013,"New isoflavones from the leaves of vatairea guianensis Aublé'",01035053,"Journal of the Brazilian Chemical Society","24","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,1,1,1,0,11,0,11
2008,"Physalis angulata extract exerts anti-inflammatory effects in rats by inhibiting different pathways",03788741,"Journal of Ethnopharmacology","118","2",0,0,0,0,0,0,0,0,0,1,5,4,1,9,5,3,8,3,7,7,5,7,2,4,1,1,0,73,0,73
2006,"Antinociceptive effect of the aqueous extract obtained from roots of Physalis angulata L. on mice",03788741,"Journal of Ethnopharmacology","103","2",0,0,0,0,0,0,1,1,2,3,3,6,3,4,5,5,6,11,6,2,5,3,4,0,3,2,1,76,0,76