,"Author: Souza, Givago Silva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"Comparison of Visual Functions of Two Amazonian Populations: Possible Consequences of Different Mercury Exposure",16624548,"Frontiers in Neuroscience","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,3,7,2,3,29,0,29
2020,"Maximum voluntary muscle contraction and fatigue in multibacillary leprosy",19805918,"Fisioterapia em Movimento","33","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2020,"Positive Balance Recovery in Ischemic Post-Stroke Patients with Delayed Access to Physical Therapy",23146133,"BioMed Research International","2020","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,9,0,9
2019,"Spatial frequency selectivity of the human visual cortex estimated with pseudo-random visual evoked cortical potential (VECP)",00426989,"Vision Research","165","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,5,0,5
2019,"Using sellar region tumor’s size as a predictor of psychophysical and electrophysiological perimetric visual losses: a logistic regression approach",00124486,"Documenta Ophthalmologica","139","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2019,"Balance Impairments in Patients with Human T-Cell Lymphotropic Virus Type 1 Infection",20452322,"Scientific Reports","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,9,0,9
2019,"Variations in plantar pressure and balance in HIV-infected children in antiretroviral therapy",20452322,"Scientific Reports","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,5,0,5
2019,"Behavioral and genetic color vision evaluation of an albino male capuchin monkey (Sapajus apella)",03407594,"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","205","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,6,0,6
2019,"A proposed correction in the weighted method to score the Ishihara test",17560500,"BMC Research Notes","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,6,0,6
2019,"Psychophysical Evaluation of Visual Functions of Ex-Alcoholic Subjects After Prolonged Abstinence",16624548,"Frontiers in Neuroscience","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,8,0,8
2019,"Pathway-specific light adaptation in human electroretinograms",15347362,"Journal of Vision","19","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2
2019,"Visual evoked cortical potential elicited by pseudoisochromatic stimulus",00124486,"Documenta Ophthalmologica","138","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,5,0,5
2019,"Mercury exposure of children living in amazonian villages: Influence of geographicalocation where they lived during prenatal and postnatal development",00013765,"Anais da Academia Brasileira de Ciencias","91","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,9,0,9
2019,"Preliminary data for performance in hue ordering tests during pregnancy",0100879X,"Brazilian Journal of Medical and Biological Research","52","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Methylmercury alters the number and topography of NO-synthase positive neurons in embryonic retina: Protective effect of alpha-tocopherol",08872333,"Toxicology in Vitro","53","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,3
2018,"Stimulus equivalence and N400 in poststroke patients: An exploratory study",19843054,"Psychology and Neuroscience","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Effect of the decrease in luminance noise range on color discrimination of dichromats and trichromats",16625153,"Frontiers in Behavioral Neuroscience","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0,4
2018,"Influence of proprioceptive neuromuscular facilitation on the muscle tonus and amplitude of movement in HTLV-1-infected patients with HAM/TSP",00378682,"Revista da Sociedade Brasileira de Medicina Tropical","51","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,6,0,6
2018,"Color vision impairment with low-level methylmercury exposure of an Amazonian population – Brazil",0161813X,"NeuroToxicology","66","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,4,2,3,0,18,0,18
2018,"Levels of mercury found in hair and fish consumption of riverine communities in the tapajós region of the brazilian amazon",14138123,"Ciencia e Saude Coletiva","23","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,1,3,1,12,0,12
2018,"Cross-sectional study to assess the association of color vision with mercury hair concentration in children from Brazilian Amazonian riverine communities",0161813X,"NeuroToxicology","65","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,4,5,3,0,21,0,21
2018,"Effect analysis of environmental factors on the children's Amazon community neuropsychomotor development",01041282,"Journal of Human Growth and Development","28","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,5,0,5
2018,"Anticipatory postural adjustments and kinematic arm features when postural stability is manipulated",21678359,"PeerJ","2018","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,5,0,16,0,16
2017,"Influence of Spatial and Chromatic Noise on Luminance Discrimination",20452322,"Scientific Reports","7","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,1,2,0,10,0,10
2017,"Five-year survival and associated factors in women treated for cervical cancer at a reference hospital in the Brazilian Amazon",19326203,"PLoS ONE","12","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,3,2,2,2,27,0,27
2017,"Heart rate variability in multibacillar leprosy: Linear and nonlinear analysis",19326203,"PLoS ONE","12","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,5,0,5
2017,"A novel nonsense mutation in the tyrosinase gene is related to the albinism in a capuchin monkey (Sapajus apella)",14712156,"BMC Genetics","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,1,2,3,0,15,0,15
2017,"Emotional and motor symptoms in riverside dwellers exposed to mercury in the Amazon",1415790X,"Revista Brasileira de Epidemiologia","20","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,10,2,2,3,3,0,30,0,30
2017,"Late physiotherapy rehabilitation changes gait patterns in post-stroke patients",20802234,"Biomedical Human Kinetics","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,4
2016,"Color discrimination is affected by modulation of luminance noise in pseudoisochromatic stimuli",16641078,"Frontiers in Psychology","7","JUL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,0,1,4,2,14,0,14
2016,"Barefoot plantar pressure indicates progressive neurological damage in patients with human T-cell lymphotropic virus type 1 infection",19326203,"PLoS ONE","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,1,0,0,9,0,9
2016,"The intake of fish and the mercury concentration of fishing families at the city of Imperatriz (MA), Brazil",1415790X,"Revista Brasileira de Epidemiologia","19","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,2,1,0,11,0,11
2015,"Somatosensory psychophysical losses in inhabitants of riverside communities of the Tapajós River Basin, Amazon, Brazil: Exposure to methylmercury is possibly involved",19326203,"PLoS ONE","10","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,1,2,2,2,3,21,0,21
2015,"Colour vision impairment in young alcohol consumers",19326203,"PLoS ONE","10","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,2,5,2,1,1,0,2,21,0,21
2015,"The spatial properties of L- and M-cone inputs to electroretinograms that reflect different types of post-receptoral processing",19326203,"PLoS ONE","10","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,6,1,1,1,0,2,22,0,22
2015,"Optical coherence tomography and multifocal electroretinography of patients with advanced neovascular age-related macular degeneration before, during, and after treatment with ranibizumab",00042749,"Arquivos Brasileiros de Oftalmologia","78","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,5,0,5
2015,"Cortical responses elicited by luminance and compound stimuli modulated by pseudo-random sequences: Comparison between normal trichromats and congenital red-green color blinds",16641078,"Frontiers in Psychology","6","JAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,0,8,0,8
2014,"Influence of retinopathy on the achromatic and chromatic vision of patients with type 2 diabetes",14712415,"BMC Ophthalmology","14","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,5,2,4,1,1,2,2,0,26,0,26
2014,"Low number of luminance levels in the luminance noise increases color discrimination thresholds estimated with pseudoisochromatic stimuli",16641078,"Frontiers in Psychology","5","DEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,2,4,2,16,0,16
2013,"Contrast sensitivity of pattern transient VEP components: Contribution from M and P pathways",19843054,"Psychology and Neuroscience","6","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,5,0,11,0,11
2013,"Neurological manifestations in riverine populations from areas exposed to mercury in the Brazilian Amazon",0102311X,"Cadernos de Saude Publica","29","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,3,1,4,0,1,2,3,2,25,0,25
2013,"Visual Evoked Cortical Potential (VECP) Elicited by Sinusoidal Gratings Controlled by Pseudo-Random Stimulation",19326203,"PLoS ONE","8","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,5,0,5
2013,"A visão através dos contrastes",01034014,"Estudos Avancados","27","77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3
2013,"Multifocal electroretinography after high dose chloroquine therapy for malaria",20082010,"Journal of Ophthalmic and Vision Research","8","3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3
2013,"Chromatic spatial contrast sensitivity estimated by visual evoked cortical potential and psychophysics",0100879X,"Brazilian Journal of Medical and Biological Research","46","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,1,0,7,0,7
2012,"Temporal evolution of exposure to mercury in riverside communities in the Tapajós Basin, from 1994 to 2010",00074861,"Bulletin of Environmental Contamination and Toxicology","89","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,2,1,0,1,0,0,0,0,1,14,0,14
2012,"Comparison of the reliability of multifocal visual evoked cortical potentials generated by pattern reversal and pattern pulse stimulation",0100879X,"Brazilian Journal of Medical and Biological Research","45","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,5,0,5
2012,"Visual dysfunction of type i and VI mucopolysaccharidosis patients evaluated with visual evoked cortical potential",16632699,"Case Reports in Ophthalmology","3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4,0,4
2011,"Pesticide residues in some commodities: Dietary risk for children",00074861,"Bulletin of Environmental Contamination and Toxicology","86","5",0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,1,0,1,1,1,3,0,1,0,16,0,16
2011,"Retinal disorders in northern Brazilian patients treated with chloroquine assessed by multifocal ERG",00124486,"Documenta Ophthalmologica","122","2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2010,"Cone contrast influence on components of the pattern onset/offset VECP",02755408,"Ophthalmic and Physiological Optics","30","5",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,0,0,0,0,1,1,0,10,0,10
2009,"Dengue maculopathy: Visual electrophysiology and optical coherence tomography",00124486,"Documenta Ophthalmologica","119","2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,5,0,5
2008,"Color discrimination ellipses of trichromats measured with transient and steady state visual evoked potentials",09525238,"Visual Neuroscience","25","3",0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,1,0,0,0,1,0,1,0,9,0,9
2008,"Amplitude of the transient visual evoked potential (tVEP) as a function of achromatic and chromatic contrast: Contribution of different visual pathways",09525238,"Visual Neuroscience","25","3",0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,2,1,1,2,1,2,4,1,0,2,4,0,29,0,29
2008,"Mercury toxicity in Amazon gold miners: Visual dysfunction assessed by retinal and cortical electrophysiology",00139351,"Environmental Research","107","1",0,0,0,0,0,0,0,0,2,6,4,2,2,1,0,4,3,2,2,1,2,2,0,2,0,0,0,35,0,35
2007,"Spatial luminance contrast sensitivity measured with transient VEP: Comparison with psychophysics and evidence of multiple mechanisms",01460404,"Investigative Ophthalmology and Visual Science","48","7",0,0,0,0,0,0,0,0,3,2,4,2,1,7,3,2,2,2,3,2,1,0,3,1,2,5,2,47,0,47
2006,"Normal and dichromatic color discrimination measured with transient visual evoked potential",09525238,"Visual Neuroscience","23","3-4",0,0,0,0,0,0,1,0,4,0,1,0,1,3,0,1,1,0,0,2,0,3,0,1,1,1,0,20,0,20