,"Author: Noronha, Renata Coelho Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 15 (Of the 53 documents considered for the h-index, 15 have been cited at least 15 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,2,0,2,2,1,6,9,2,7,10,6,7,19,20,21,26,42,33,32,73,101,152,91,664,0,664
2026,"Theoretical and experimental investigation of a nimesulide-alginate hybrid composite: Physicochemical characterization, cytotoxicity and release profile",00222860,"Journal of Molecular Structure","1351","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2026,"Fish gelatin in biomedical applications: A systematic review",17732247,"Journal of Drug Delivery Science and Technology","115","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
2025,"DNA Methylation and Oxidative Stress in a Fish from an Area of the Amazon Historically Impacted by Anthropogenic Activities",00074861,"Bulletin of Environmental Contamination and Toxicology","115","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Mechanochemistry in Waste Valorization: Advances in the Synthesis of Catalysts, Polymers, and Functional Materials",20734344,"Catalysts","15","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
2025,"DNA methylation in fish of the cichlid family: A systematic review",24058440,"Heliyon","11","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2025,"The dual role of circHIPK3 in cancer and its implications for multiple drugs resistance: a systematic review and computational approach",2234943X,"Frontiers in Oncology","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,5
2025,"Genomic and cellular contributions to establish the fish Hyphessobrycon heterorhabdus as an Amazonian model for ecotoxicology",07307268,"Environmental Toxicology and Chemistry","44","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2024,"Review of recent advances in improvement strategies for biofuels production from cyanobacteria",24058440,"Heliyon","10","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,0,9
2024,"Glycerol: A green solvent for synthetic chemistry",23525541,"Sustainable Chemistry and Pharmacy","41","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,7,24,0,24
2024,"Biological activities from açaí (Euterpe spp. Mart.) seeds and their pharmacological aspects: A systematic review and meta-analysis",22134344,"PharmaNutrition","29","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,0,6
2024,"The potential of third-generation biodiesel from Tolypothrix sp. CACIAM22 as a feedstock",24058440,"Heliyon","10","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2024,"Use of Residual Lignocellulosic Biomass and Algal Biomass to Produce Biofuels",14220067,"International Journal of Molecular Sciences","25","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,0,13
2024,"Establishment and Characterization of a Primary Fibroblast Cell Culture from the Amazonian Manatee (Trichechus inunguis)",20762615,"Animals","14","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,7,0,7
2024,"Absence of adverse effects of Blutaparon portulacoides (A.St.-Hil.) Mears in mice exposed during pregnancy",02546299,"South African Journal of Botany","166","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2024,"Development and evaluation of low-cost flat plate photobioreactors for microalgae and cyanobacteria cultivation with biotechnological potential",00013765,"Anais da Academia Brasileira de Ciencias","96","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,9
2023,"Synthesis of biochar modified with 12-tungstophosphoric acid for the selective conversion of isoeugenol to vanillin",18785352,"Arabian Journal of Chemistry","16","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2023,"Ancestral chromosomal signatures of Paenungulata (Afroteria) reveal the karyotype of Amazonian manatee (Trichechus inunguis, Sirenia: Trichechidae) as the oldest among American manatees",14712164,"BMC Genomics","24","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2023,"Chromosomal organization of multigene families and meiotic analysis in species of Loricariidae (Siluriformes) from Brazilian Amazon, with description of a new cytotype for genus Spatuloricaria",20466390,"Biology Open","12","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3
2023,"Valorization of silica-based residues for the synthesis of ordered mesoporous silicas and their applications",13871811,"Microporous and Mesoporous Materials","354","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,3,12,0,12
2023,"High Chromosomal Reorganization and Presence of Microchromosomes in Chactidae Scorpions from the Brazilian Amazon",20797737,"Biology","12","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2023,"Biological activities from andiroba (Carapa guianensis Aublet.) and its biotechnological applications: A systematic review",18785352,"Arabian Journal of Chemistry","16","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,4,29,0,29
2023,"Glycerol and microwave-assisted catalysis: recent progress in batch and flow devices",23984902,"Sustainable Energy and Fuels","7","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,2,25,0,25
2023,"Chromosomal Mapping of the Histone Multigene Family and U2 snRNA in Hypancistrus Species (Siluriformes, Loricariidae) from the Brazilian Amazon",15458547,"Zebrafish","20","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,4
2023,"Zeolites: A Theoretical and Practical Approach with Uses in (Bio)Chemical Processes",20763417,"Applied Sciences (Switzerland)","13","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,27,14,74,0,74
2023,"Absence of maternal-fetal adverse effects of Alternanthera littoralis P. Beauv. following treatment during pregnancy in mice",15287394,"Journal of Toxicology and Environmental Health - Part A: Current Issues","86","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,5,0,5
2022,"Cardiac response in tambaqui Colossoma macropomum anaesthetised with Piper divaricatum essential oil",09201742,"Fish Physiology and Biochemistry","48","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,18,0,18
2022,"Kinetic Activity of Chromosomes and Expression of Recombination Genes in Achiasmatic Meiosis of Tityus (Archaeotityus) Scorpions",14220067,"International Journal of Molecular Sciences","23","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022,"Karyotypes of Manatees: New Insights into Hybrid Formation (Trichechus inunguis × Trichechus m. manatus) in the Amazon Estuary",20734425,"Genes","13","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,10,0,10
2022,"Glycerol and Catalysis by Waste/Low-Cost Materials—A Review",20734344,"Catalysts","12","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,9,3,34,0,34
2022,"Chromosomal Diversification in Ancistrus Species (Siluriformes: Loricariidae) Inferred From Repetitive Sequence Analysis",16648021,"Frontiers in Genetics","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,9,0,9
2021,"Comparative Cytogenetics Analysis Among Peckoltia Species (Siluriformes, Loricariidae): Insights on Karyotype Evolution and Biogeography in the Amazon Region",16648021,"Frontiers in Genetics","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,2,11,0,11
2021,"Isolation and establishment of skin-derived and mesenchymal cells from south American bat Artibeus planirostris (Chiroptera – Phyllostomidae)",00408166,"Tissue and Cell","71","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2020,"Meiotic analyses show adaptations to maintenance of fertility in X1Y1X2Y2X3Y3X4Y4X5Y5 system of amazon frog Leptodactylus pentadactylus (Laurenti, 1768)",20452322,"Scientific Reports","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,3,12,0,12
2020,"Molecular cytogenetics characterization of Rhinoclemmys punctularia (Testudines, Geoemydidae) and description of a Gypsy-H3 association in its genome",03781119,"Gene","738","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0,1,1,11,0,11
2020,"Evolutionary insights in Amazonian turtles (Testudines, Podocnemididae): Co-location of 5S rDNA and U2 snRNA and wide distribution of Tc1/Mariner",20466390,"Biology Open","9","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,2,1,11,0,11
2019,"Meiosis in the scorpion Tityus silvestris: New insights into achiasmatic chromosomes",20466390,"Biology Open","8","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,2,0,10,0,10
2019,"Karyoevolution of Crenicichla heckel 1840 (Cichlidae, Perciformes): A process mediated by inversions",20466390,"Biology Open","8","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,0,4
2018,"In situ localization of ribosomal sites in peckoltia and ancistomus (Loricariidae: Hypostominae) from the Amazon Basin",15458547,"Zebrafish","15","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,5,0,1,0,12,0,12
2018,"Physical mapping of repetitive DNA suggests 2n reduction in Amazon turtles Podocnemis (Testudines: Podocnemididae)",19326203,"PLoS ONE","13","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,4,4,1,1,1,23,0,23
2017,"Karyotypic Evolution and Chromosomal Organization of Repetitive DNA Sequences in Species of Panaque, Panaqolus, and Scobinancistrus (Siluriformes and Loricariidae) from the Amazon Basin",15458547,"Zebrafish","14","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,4,1,3,0,16,0,16
2017,"Karyotype diversity and chromosomal organization of repetitive DNA in tityus obscurus (Scorpiones, Buthidae)",14712156,"BMC Genetics","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,6,5,4,0,3,0,31,0,31
2016,"New insights of karyoevolution in the Amazonian turtles Podocnemis expansa and Podocnemis unifilis (Testudines, Podocnemidae)",17558166,"Molecular Cytogenetics","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,0,1,1,0,11,0,11
2016,"Protein markers of synaptic behavior and chromatin remodeling of the neo-XY body in phyllostomid bats",00095915,"Chromosoma","125","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,7,0,7
2016,"First description of multivalent ring structures in eutherian mammalian meiosis: new chromosomal characterization of Cormura brevirostris (Emballonuridae, Chiroptera)",00166707,"Genetica","144","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,0,1,0,0,0,10,0,10
2016,"Cryptic Species in Proechimys goeldii (Rodentia, Echimyidae)? A Case of Molecular and Chromosomal Differentiation in Allopatric Populations",14248581,"Cytogenetic and Genome Research","148","2-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,2,0,2,0,1,20,0,20
2016,"Integrated Cytogenetic and Mitochondrial DNA Analyses Indicate That Two Different Phenotypes of Hypancistrus (L066 and L333) Belong to the Same Species",15458547,"Zebrafish","13","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,6,0,14,0,14
2013,"Proechimys (Rodentia, Echimyidae): Characterization and taxonomic considerations of a form with a very low diploid number and a multiple sex chromosome system",14712156,"BMC Genetics","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,1,2,0,3,1,0,18,0,18
2013,"Comparative cytogenetics of two species of genus scobinancistrus (Siluriformes, Loricariidae, Ancistrini) from the Xingu river, Brazil",19930771,"Comparative Cytogenetics","7","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,2,3,0,0,0,1,0,1,0,17,0,17
2010,"Meiotic analysis of XX/XY and neo-XX/XY sex chromosomes in Phyllostomidae by cross-species chromosome painting revealing a common chromosome 15-XY rearrangement in Stenodermatinae",09673849,"Chromosome Research","18","6",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,1,0,0,0,0,0,2,3,0,15,0,15
2009,"Neo-XY body: An analysis of XY1Y2 meiotic behavior in Carollia (Chiroptera, Phyllostomidae) by chromosome painting",14248581,"Cytogenetic and Genome Research","124","1",0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,1,3,2,1,2,2,0,0,1,2,3,1,26,0,26
2005,"Reciprocal chromosome painting between two South American bats: Carollia brevicauda and Phyllostomus hastatus (Phyllostomidae, Chiroptera)",09673849,"Chromosome Research","13","4",0,0,0,0,0,0,1,2,1,3,4,2,2,6,1,3,3,3,1,2,1,0,2,1,3,1,0,42,0,42
2004,"Meiotic analyses of the sex chromosomes in Carolliinae-Phyllostomidae (Chiroptera): NOR separates the XY1Y2 into two independent parts",00087114,"Caryologia","57","1",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,0,1,0,0,1,0,0,1,0,11,0,11
2001,"Sex-autosome translocations: Meiotic behaviour suggests an inactivation block with permanence of autosomal gene activity in Phyllostomid bats",00087114,"Caryologia","54","3",0,0,0,0,2,0,1,0,0,2,2,0,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,14,0,14